config_id,repeat,best_cost_minutes,found_at_iteration,execution_time,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
5,8,1263.2720511666666,2254,47.29,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,9,1262.45191535,1332,28.58,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,10,1224.1007442833331,2127,44.33,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,1,1300.2205841666666,1189,24.83,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,2,1306.3646498666667,735,15.27,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,3,1393.2407360333334,635,13.44,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,4,1249.2753340499999,1713,36.1,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,5,1349.4683736666666,761,15.82,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,6,1228.6024507166667,1661,34.79,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,7,1267.4629692666667,2038,42.46,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,8,1270.0117013000001,1979,41.32,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,9,1356.6559195,1185,24.65,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,10,1184.4380079,1930,39.95,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,1,1434.9786334666667,613,12.66,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,2,1378.2967939166667,1158,23.99,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,3,1296.4591155666667,874,18.1,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,4,1335.1444263,1118,22.94,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,5,1359.1472814666665,1115,23.31,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,6,1390.7656450666666,674,14.07,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,7,1366.3890490999997,1143,23.64,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,8,1365.4381611166666,854,17.78,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,9,1399.3921301833332,1185,24.25,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,10,1382.2688477666666,1006,20.91,40,5000,0.5,2.0,0.05,500,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
