best_for_category,config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
diversity_final_std,147,10,40,4000,0.5,5.0,0.1,1000,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,69761.0412,79948.2209,77081.73711999999,2845.227027287052,8095316.836804714,77505.1901,1162.684,1332.4703,1284.6956,47.42045400473889,2248.699458015557,1291.75315,146,2008,754.9,634.9845929889428,403205.43333333335,678.5,1146,3008,1754.9,634.9845929889428,403205.43333333335,1678.5,50996.3007,80024.6195,65440.91466,9903.342162792906,98076185.99335164,64628.92785,0.1795,0.1894,0.18461,0.003117851824574,9.72099999999999e-06,0.1847,21.86,57.83,33.753,12.26758606155986,150.49366777777774,32.239999999999995,9,25,14.4,5.501514942874069,30.266666666666666,14.0
diversity_final_var,147,10,40,4000,0.5,5.0,0.1,1000,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,69761.0412,79948.2209,77081.73711999999,2845.227027287052,8095316.836804714,77505.1901,1162.684,1332.4703,1284.6956,47.42045400473889,2248.699458015557,1291.75315,146,2008,754.9,634.9845929889428,403205.43333333335,678.5,1146,3008,1754.9,634.9845929889428,403205.43333333335,1678.5,50996.3007,80024.6195,65440.91466,9903.342162792906,98076185.99335164,64628.92785,0.1795,0.1894,0.18461,0.003117851824574,9.72099999999999e-06,0.1847,21.86,57.83,33.753,12.26758606155986,150.49366777777774,32.239999999999995,9,25,14.4,5.501514942874069,30.266666666666666,14.0
diversity_final_median,486,10,40,4000,1.5,5.0,0.1,650,999999,400,0.4,80,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,63822.3297,78275.5973,72280.92159,4696.460123709374,22056737.69359227,72734.5234,1063.7055,1304.5933,1204.68202,78.27434723780202,6126.873435504005,1212.24205,54,2023,1073.2,638.7322165387028,407978.8444444443,1226.5,704,2673,1723.2,638.7322165387028,407978.8444444443,1876.5,4810.6332,89772.6925,48150.32229,25913.708399569598,671520283.0179237,56103.4121,0.0466,0.088,0.06306,0.0134380223412689,0.0001805804444444,0.05885,14.89,58.36,40.311,14.339440908053408,205.6195655555556,45.08,1,5,2.7,1.159501808728406,1.344444444444445,2.5
execution_time_min,115,10,40,4000,0.5,5.0,0.05,300,999999,100,0.4,20,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72175.9318,81700.9211,77918.98033,2942.403422798761,8657737.902497863,78553.3293,1202.9322,1361.682,1298.64967,49.04005757697925,2404.92724715344,1309.22215,7,512,228.8,180.59026674891547,32612.844444444443,178.5,307,812,528.8,180.59026674891544,32612.84444444444,478.5,57433.7869,81294.274,67342.13527,8185.355290119623,67000041.225489296,66008.52345,0.1731,0.2022,0.18839,0.0088502918972577,7.832766666666664e-05,0.1881999999999999,5.8,15.55,10.114,3.448555897441388,11.89253777777778,9.145,2,5,3.0,1.247219128924647,1.5555555555555556,2.5
execution_time_max,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
execution_time_avg,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
execution_time_std,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
execution_time_var,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
execution_time_median,138,10,40,4000,0.5,5.0,0.1,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,77173.0666,81641.6102,79668.75704,1518.3507923887937,2305389.1287476774,79959.10835,1286.2178,1360.6935,1327.81263,25.305847331663266,640.3859091734487,1332.6518,28,574,208.0,172.75416058665562,29844.0,133.5,328,874,508.0,172.75416058665562,29844.0,433.5,56850.0997,73148.9763,63105.67803,4486.658063962245,20130100.58291744,61928.4782,0.1719,0.1917,0.18456,0.0072949297460633,5.321600000000005e-05,0.1859,6.26,16.52,9.683,3.2242623618089423,10.39586777777778,8.29,0,0,0.0,0.0,0.0,0.0
big_shakes_count_min,5,10,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,77703.5519,84909.9696,82198.78563,3176.9549712588528,10093042.889406338,84144.4283,1295.0592,1415.1662,1369.97974,52.94925068176542,2803.623147760436,1402.4071,56,743,395.2,250.5171539923852,62758.84444444443,363.5,356,1043,695.2,250.51715399238523,62758.84444444445,663.5,18290.5643,29663.4045,23759.65943,3901.831838603568,15224291.6967405,22255.72885,0.2663,0.2995,0.27879,0.0099869303480988,9.973877777777774e-05,0.27595,7.21,21.31,14.146,5.120968224423537,26.224315555555552,13.53,0,0,0.0,0.0,0.0,0.0
