best_for_category,config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_big_shake,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
diversity_final_median,328,10,40,4000,1.0,5.0,0.2,300,999999,0.4,0,0.3,0.01,10.0,80003.4113,89582.3156,84460.47451,3767.22559502502,14191988.683811614,85639.6771,1333.3902,1493.0386,1407.67458,62.78709540465215,3942.219349352891,1427.32795,15,257,118.5,89.67750863820625,8042.055555555556,131.0,315,557,418.5,89.67750863820625,8042.055555555556,431.0,1481.5423,1674.3138,1577.039,59.7492915762931,3569.97784386889,1583.0464000000002,0.0,0.0677,0.03588,0.0206829398297243,0.0004277839999999,0.03585,9.49,16.69,12.568,2.685011069706128,7.209284444444445,12.93,0,0,0.0,0.0,0.0,0.0
execution_time_min,210,10,40,4000,1.0,2.0,0.2,300,100,0.4,20,0.3,0.01,10.0,79202.1226,98811.4478,88035.92782,6478.191716975464,41966967.92188952,89286.9179,1320.0354,1646.8575,1467.2654699999998,107.96987357025976,11657.49359877788,1488.1153,2,376,135.4,131.20907827670396,17215.822222222225,94.5,302,676,435.4,131.2090782767039,17215.82222222222,394.5,1747.6077,2296.9772,1948.59756,153.95797947728892,23703.059444729315,1922.587,0.1087,0.2831,0.14553,0.05222238877042,0.0027271778888888,0.13345,9.05,20.32,13.073,3.930880732524625,15.451823333333332,11.85,3,6,4.0,1.247219128924647,1.5555555555555556,3.5
execution_time_max,480,10,40,4000,1.5,5.0,0.1,300,999999,0.4,0,0.3,0.01,10.0,80816.009,89547.4535,85275.15352,3452.165049982005,11917443.532317258,84933.10125,1346.9335,1492.4576,1421.25257,57.536077843636505,3310.4002536289995,1415.5517,4,166,62.8,52.08710652999135,2713.0666666666675,36.5,304,466,362.8,52.08710652999134,2713.066666666666,336.5,1574.1269,1844.1399,1732.05331,82.88706611401977,6870.265728989885,1729.4149000000002,0.0182,0.1035,0.06021,0.0222969081065315,0.0004971521111111,0.0559999999999999,10.46,14.69,11.715,1.4091151675982894,1.985605555555555,11.095,0,0,0.0,0.0,0.0,0.0
execution_time_avg,366,10,40,4000,1.5,2.0,0.1,300,999999,0.4,0,0.3,0.01,10.0,76250.8349,88906.0988,83195.51362000001,4577.51675559725,20953659.64777358,82806.68960000001,1270.8472,1481.7683,1386.59189,76.29195219244515,5820.4619693343375,1380.1115,17,259,83.4,80.12379310930194,6419.822222222222,46.0,317,559,383.4,80.12379310930196,6419.822222222223,346.0,1572.6052,1881.3601,1691.71078,108.4953670766309,11771.244677092884,1667.2866,0.0386,0.1059,0.0696,0.0233326190366857,0.0005444111111111,0.06355,9.52,17.04,11.572,2.477179399594987,6.136417777777779,10.455,0,0,0.0,0.0,0.0,0.0
execution_time_std,480,10,40,4000,1.5,5.0,0.1,300,999999,0.4,0,0.3,0.01,10.0,80816.009,89547.4535,85275.15352,3452.165049982005,11917443.532317258,84933.10125,1346.9335,1492.4576,1421.25257,57.536077843636505,3310.4002536289995,1415.5517,4,166,62.8,52.08710652999135,2713.0666666666675,36.5,304,466,362.8,52.08710652999134,2713.066666666666,336.5,1574.1269,1844.1399,1732.05331,82.88706611401977,6870.265728989885,1729.4149000000002,0.0182,0.1035,0.06021,0.0222969081065315,0.0004971521111111,0.0559999999999999,10.46,14.69,11.715,1.4091151675982894,1.985605555555555,11.095,0,0,0.0,0.0,0.0,0.0
execution_time_var,480,10,40,4000,1.5,5.0,0.1,300,999999,0.4,0,0.3,0.01,10.0,80816.009,89547.4535,85275.15352,3452.165049982005,11917443.532317258,84933.10125,1346.9335,1492.4576,1421.25257,57.536077843636505,3310.4002536289995,1415.5517,4,166,62.8,52.08710652999135,2713.0666666666675,36.5,304,466,362.8,52.08710652999134,2713.066666666666,336.5,1574.1269,1844.1399,1732.05331,82.88706611401977,6870.265728989885,1729.4149000000002,0.0182,0.1035,0.06021,0.0222969081065315,0.0004971521111111,0.0559999999999999,10.46,14.69,11.715,1.4091151675982894,1.985605555555555,11.095,0,0,0.0,0.0,0.0,0.0
execution_time_median,326,10,40,4000,1.0,5.0,0.2,300,250,0.4,50,0.3,0.01,10.0,79226.1372,90205.2666,84107.13016999999,3217.009894289381,10349152.659955772,84720.5546,1320.4356,1503.4211,1401.7855,53.61683729321109,2874.765241326672,1412.00925,15,544,148.0,208.32719990971464,43400.22222222222,43.0,315,844,448.0,208.32719990971464,43400.22222222222,343.0,1507.6237,1874.2971,1729.2724999999998,129.38763776152135,16741.160805506664,1759.92445,0.0286,0.0892,0.07253,0.0206297008111013,0.0004255845555555,0.08195,9.43,25.55,13.478,6.281022209799931,39.45124000000001,10.35,1,3,1.4,0.8432740427115678,0.711111111111111,1.0
big_shakes_count_min,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
big_shakes_count_max,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
big_shakes_count_avg,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
big_shakes_count_std,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
big_shakes_count_var,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
big_shakes_count_median,5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407049,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5222,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999,0.0005167337777777,0.0633499999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
