config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_big_shake,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
439,10,40,4000,1.5,3.5,0.2,300,100,0.4,20,0.6,0.01,10.0,78263.1331,88332.5808,84114.19901000001,4069.0110899863857,16556851.250432193,85564.33785,1304.3856,1472.2097,1401.90332,67.81685336723379,4599.1256006328895,1426.0723,22,546,240.9,170.69104643575577,29135.433333333334,227.0,322,846,540.9,170.69104643575577,29135.433333333334,527.0,1551.6324,2052.0118,1789.6408500000002,131.14019003033235,17197.749441191678,1773.72165,0.0692,0.1605,0.09596,0.027633080014922536,0.0007635871111111113,0.0916,9.99,25.78,17.095,5.317094549135312,28.27149444444445,17.175,3,8,5.0,1.632993161855452,2.6666666666666665,5.0
440,10,40,4000,1.5,3.5,0.2,300,250,0.4,50,0.3,0.01,10.0,82115.0814,90604.7476,84460.20449,2855.369694750221,8153136.093697969,83289.9109,1368.5847,1510.0791,1407.67008,47.58948612110313,2264.7591892706673,1388.1652,30,542,221.0,152.13371311667467,23144.666666666668,236.0,330,842,521.0,152.13371311667467,23144.666666666668,536.0,1692.3186,1971.6267,1808.50243,83.08757043268731,6903.544360406776,1793.0621500000002,0.0695,0.1091,0.09378,0.010791951733686649,0.00011646622222222226,0.09355,10.19,26.81,16.228,4.878507968631394,23.79984000000001,16.419999999999998,1,3,1.6,0.6992058987801011,0.48888888888888893,1.5
441,10,40,4000,1.5,3.5,0.2,300,250,0.4,50,0.6,0.01,10.0,75220.3883,89197.5296,81955.81392,4660.334877211851,21718721.167757194,80687.2784,1253.6731,1486.6255,1365.93022,77.6722605312548,6032.980056035123,1344.78795,26,620,211.5,222.9615063936673,49711.833333333336,121.5,326,920,511.5,222.9615063936673,49711.833333333336,421.5,1556.1674,1949.5217,1755.39665,114.83442546048877,13186.945270840552,1740.1828999999998,0.056,0.1105,0.08903,0.016787366281423265,0.00028181566666666673,0.09040000000000001,9.92,27.94,15.806000000000001,6.968296778984087,48.557159999999996,13.08,1,3,1.6,0.8432740427115679,0.7111111111111112,1.0
442,10,40,4000,1.5,3.5,0.2,300,999999,0.4,0,0.3,0.01,10.0,76167.9126,91503.6046,85398.783,4070.802445405389,16571432.549518496,85984.39744999999,1269.4652,1525.0601,1423.31305,67.84671351112414,4603.176534260554,1433.0733,4,246,82.2,79.333053220794,6293.733333333334,44.5,304,546,382.2,79.333053220794,6293.733333333334,344.5,1468.738,1784.6351,1663.6991600000001,87.26254020007283,7614.750922169328,1662.7675,0.0256,0.0845,0.05817,0.02142314687953715,0.00045895122222222226,0.06435,9.29,16.52,11.659,2.3721787922123876,5.627232222222221,10.73,0,0,0.0,0.0,0.0,0.0
443,10,40,4000,1.5,3.5,0.2,650,100,0.4,20,0.3,0.01,10.0,78599.2812,88135.4196,83500.55718,3195.2954146507486,10209912.7868881,84515.1002,1309.988,1468.9237,1391.67596,53.25493645538516,2836.0882568671113,1408.585,15,923,427.0,295.45219579485274,87292.0,499.5,665,1573,1077.0,295.45219579485274,87292.0,1149.5,1664.0211,1948.0943,1835.0182300000001,76.68237038804297,5880.18592832901,1824.3772,0.0778,0.1772,0.09974999999999999,0.02977464432104008,0.0008865294444444443,0.09045,21.76,47.5,33.919,8.931632238535375,79.77405444444443,34.980000000000004,6,15,10.1,2.9981475762358474,8.988888888888887,11.0
444,10,40,4000,1.5,3.5,0.2,650,100,0.4,20,0.6,0.01,10.0,76565.2085,85924.1214,82833.83974,2854.398294329756,8147589.622672619,83453.91285,1276.0868,1432.0687,1380.5639999999999,47.573299993028314,2263.218872226668,1390.89855,28,1467,519.5,467.3519373377341,218417.83333333334,467.0,678,2117,1169.5,467.3519373377341,218417.83333333334,1117.0,1655.2516,2013.8393,1825.2535199999998,107.55208106769895,11567.450141992886,1832.5109499999999,0.0472,0.1907,0.09330000000000001,0.038996324613139295,0.0015207133333333337,0.09175,21.01,65.34,37.225,16.06130564085277,257.96553888888894,34.400000000000006,6,21,11.0,4.8074017006186525,23.111111111111114,10.5
445,10,40,4000,1.5,3.5,0.2,650,250,0.4,50,0.3,0.01,10.0,74130.7571,91668.0653,83249.65123,5344.379018752687,28562387.096083935,83782.9614,1235.5126,1527.8011,1387.49419,89.07298104056078,7933.995951452099,1396.3827,23,1023,507.8,358.35451100210184,128417.95555555554,519.0,673,1673,1157.8,358.3545110021019,128417.95555555557,1169.0,1691.2217,1974.9111,1782.2952300000002,104.92818461586053,11009.923926780111,1730.5298,0.0544,0.1459,0.08721,0.030302748316869802,0.0009182565555555557,0.0797,20.41,51.54,36.662,12.429253843699188,154.48635111111105,35.535,2,6,3.9,1.4491376746189437,2.0999999999999996,4.0
446,10,40,4000,1.5,3.5,0.2,650,250,0.4,50,0.6,0.01,10.0,78642.5601,90104.4937,82628.53442,3499.4366768986574,12246057.055623518,81356.67300000001,1310.7093,1501.7416,1377.14225,58.323952320108894,3401.683414238336,1355.94455,14,1781,375.1,596.948806664171,356347.8777777778,26.5,664,2431,1025.1,596.9488066641711,356347.8777777779,676.5,1610.7144,2108.625,1788.70865,139.89957061047798,19571.889856996113,1780.28885,0.0649,0.2268,0.10625,0.045178860592587376,0.002041129444444445,0.09620000000000001,20.05,83.5,32.628,20.682657147152703,427.77230666666674,21.244999999999997,2,9,3.5,2.41522945769824,5.833333333333334,2.0
447,10,40,4000,1.5,3.5,0.2,650,400,0.4,80,0.3,0.01,10.0,74605.5149,90589.0336,84447.87441,4617.721224059996,21323349.303134143,85121.8473,1243.4252,1509.8172,1407.46456,76.96202634467352,5923.15349907822,1418.6974500000001,4,873,374.2,332.9827489692388,110877.51111111112,367.5,654,1523,1024.2,332.9827489692388,110877.51111111109,1017.5,1658.885,1905.604,1792.37615,65.3386501192101,4269.1391994005535,1793.3228,0.0747,0.1285,0.09311,0.016143072129485694,0.0002605987777777778,0.0923,20.01,46.13,31.044,10.100038723798153,102.01078222222225,30.785,1,3,1.9,0.8755950357709131,0.7666666666666667,2.0
448,10,40,4000,1.5,3.5,0.2,650,400,0.4,80,0.6,0.01,10.0,76668.9599,84473.0036,80930.36571,2259.126387788146,5103652.036000717,80827.81365,1277.816,1407.8834,1348.83943,37.652112316134094,1417.6815618667765,1347.1302,35,1224,476.2,368.14151868239173,135528.17777777778,439.0,685,1874,1126.2,368.14151868239173,135528.17777777778,1089.0,1572.0666,2049.8984,1809.8399000000002,135.84355471790167,18453.47135839554,1791.7438,0.0656,0.1944,0.10401,0.038602143003264006,0.001490125444444444,0.09085,21.04,56.23,33.958,10.98878701222296,120.75344000000001,32.905,1,4,2.3,0.9486832980505138,0.8999999999999999,2.0
