config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
81,10,40,4000,0.5,3.5,0.1,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,77135.2851,78878.3786,78007.43426,566.1742692393977,320553.30314876605,77993.4562,1285.5881,1314.6396,1300.1239,9.436230725830704,89.04245031111147,1299.89095,41,638,312.2,211.94433231393566,44920.399999999994,282.5,341,938,612.2,211.9443323139357,44920.4,582.5,35038.3262,59286.4941,47704.32286,7555.949511611035,57092373.02201503,49277.259300000005,0.2075,0.2325,0.21847,0.007341215460974059,5.3893444444444566e-05,0.2168,7.03,18.94,12.574000000000002,4.2478784247093415,18.044471111111115,11.965,0,0,0.0,0.0,0.0,0.0
82,10,40,4000,0.5,3.5,0.1,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,70125.001,77604.2734,74408.37663,2519.051229199039,6345619.09532919,75364.84659999999,1168.75,1293.4046,1240.13962,41.984200246516004,1762.6730703395547,1256.0808000000002,268,1508,721.4,388.4682741228683,150907.59999999998,622.0,918,2158,1371.4,388.46827412286837,150907.6,1272.0,33327.7382,53280.4359,41735.17963,7205.537614274572,51919772.31072568,39074.71605,0.2086,0.2226,0.21625999999999998,0.004503628167007868,2.0282666666666644e-05,0.21735,18.47,42.83,27.572000000000003,7.625984526603761,58.15564,25.9,7,19,10.9,3.5103022978402048,12.322222222222223,10.5
83,10,40,4000,0.5,3.5,0.1,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,66173.5002,80256.3699,76444.89667,4096.61964840071,16782292.543662753,77899.67540000001,1102.8917,1337.6062,1274.08162,68.2769888720904,4661.747209439555,1298.3279,19,340,192.1,111.17398776492439,12359.655555555557,192.5,669,990,842.1,111.17398776492435,12359.65555555555,842.5,39840.1957,58616.2051,49247.9559,5198.370651718925,27023057.432652637,49213.4788,0.2115,0.2343,0.22254999999999997,0.007825350542378984,6.123611111111104e-05,0.22085,13.17,19.36,16.561,2.200158832650245,4.840698888888888,16.555,6,8,6.7,0.6749485577105528,0.4555555555555555,7.0
84,10,40,4000,0.5,3.5,0.1,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,69163.1798,78333.3774,73664.52941,2911.2194457739974,8475198.661452662,73113.32605,1152.7197,1305.5563,1227.74217,48.52032259618528,2354.221704837888,1218.5554499999998,404,2295,993.8,638.9190176470811,408217.51111111115,776.5,1054,2945,1643.8,638.9190176470811,408217.5111111111,1426.5,32584.5395,45511.0734,39810.39131,3954.582320230923,15638721.327482989,40927.1319,0.2069,0.2273,0.21516000000000002,0.006916839355273953,4.7842666666666594e-05,0.2133,21.14,60.33,33.602,13.242861221553795,175.3733733333333,29.515,2,9,4.7,2.1628170930011112,4.677777777777778,4.0
85,10,40,4000,0.5,3.5,0.1,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,68990.0667,75718.9108,73130.84353,2141.3720827658867,4585474.396849111,73226.36309999999,1149.8344,1261.9818,1218.8473900000001,35.6895341032276,1273.742844505446,1220.4394,404,1748,704.4,416.06174755410734,173107.37777777776,588.5,1054,2398,1354.4,416.06174755410734,173107.37777777776,1238.5,38058.8338,57170.1874,46162.75683,5616.92104586604,31549802.035492845,46514.4957,0.204,0.2255,0.21526,0.0067399637321807005,4.54271111111112e-05,0.21445,21.06,47.71,26.916000000000004,8.28359449621828,68.61793777777778,24.59,3,7,3.8,1.3165611772087666,1.7333333333333332,3.0
86,10,40,4000,0.5,3.5,0.1,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,67901.6451,80713.7752,74339.55890999999,3784.0900127128753,14319337.224313328,74766.31865,1131.6941,1345.2296,1238.99265,63.068156618767944,3977.592379289443,1246.1053,319,1693,819.5,366.4509213766255,134286.27777777775,757.0,969,2343,1469.5,366.4509213766255,134286.27777777778,1407.0,34784.9673,58895.1875,46545.86695,7504.296638304755,56314468.03567205,47031.9275,0.2121,0.2302,0.22080000000000002,0.005644269463604456,3.185777777777773e-05,0.22025,19.87,46.51,29.497000000000003,7.229101757633669,52.2599122222222,28.485,1,4,2.1,0.8755950357709132,0.7666666666666668,2.0
87,10,40,4000,0.5,3.5,0.1,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,67232.7746,78439.4934,74191.60071,3802.986358686701,14462705.244357131,74867.7212,1120.5462,1307.3249,1236.5266900000001,63.38311610399183,4017.4194070521085,1247.7954,342,1855,911.8,500.03306557333457,250033.06666666668,776.5,992,2505,1561.8,500.03306557333457,250033.06666666668,1426.5,33070.5758,59591.2401,45004.98037,7413.481304701852,54959705.05516388,44736.149600000004,0.208,0.2314,0.21715,0.0072191489187515105,5.21161111111111e-05,0.21534999999999999,20.36,51.62,31.731,10.381059087481281,107.76638777777771,28.91,1,4,2.1,0.9944289260117533,0.9888888888888889,2.0
88,10,40,4000,0.5,3.5,0.1,650,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,75400.1103,79678.5556,77485.9136,1294.2109979356285,1674982.107177535,77043.49859999999,1256.6685,1327.9759,1291.43189,21.570179584141393,465.27264729211015,1284.0583000000001,91,1346,630.8,377.78882990369107,142724.40000000002,571.5,741,1996,1280.8,377.78882990369107,142724.40000000002,1221.5,38361.5709,58613.57,47000.56794,6323.196737921309,39982816.98645869,46615.92615,0.2022,0.2302,0.21737,0.007889099371213982,6.223788888888884e-05,0.21825,14.79,39.12,25.127000000000002,7.3315119707859555,53.75106777777776,23.905,0,0,0.0,0.0,0.0,0.0
89,10,40,4000,0.5,3.5,0.1,1000,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,69863.4114,76531.8251,72845.78079,2179.8796120296593,4751875.122942578,72238.55845000001,1164.3902,1275.5304,1214.09634,36.33131024056245,1319.964103795998,1203.976,415,1611,867.8,389.6587680978776,151833.95555555556,792.0,1415,2611,1867.8,389.6587680978776,151833.95555555556,1792.0,35107.218,67327.8678,48939.56542,8898.143574200412,79176959.0670841,48628.92735,0.2092,0.2279,0.21774,0.007047962668585709,4.9673777777777794e-05,0.21565,28.7,53.31,37.789,8.072150271148326,65.15961,36.925,12,23,15.5,3.5668224265054493,12.722222222222221,14.0
90,10,40,4000,0.5,3.5,0.1,1000,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,68611.5515,79823.6933,75440.79313,3637.8043519576117,13233620.50312174,76348.98019999999,1143.5259,1330.3949,1257.3465700000002,60.630072780282326,3676.0057253423315,1272.48305,114,2075,765.5,567.975791737641,322596.50000000006,672.5,1114,3075,1765.5,567.9757917376409,322596.5,1672.5,39850.3532,56273.3531,49630.819429999996,5160.6419778520685,26632225.623568907,50741.51609999999,0.2086,0.2296,0.21800000000000003,0.007254423937616733,5.262666666666666e-05,0.21795,23.14,61.34,35.232,11.144659707680626,124.20344,33.045,9,28,14.5,5.602578771323871,31.38888888888889,13.0
