config_id,repeat,best_cost,best_cost_minutes,best_iteration,avg_cost_final_minutes,diversity_final,iterations_done,execution_time,big_shakes_count,big_shakes_at_iter,last_big_shake_iter,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
5,3,84258.0561,1404.3009,246,21993.5039,0.2716,546,11.07,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,4,81517.0251,1358.6171,481,22517.9538,0.2739,781,15.99,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,5,77776.8263,1296.2804,646,26222.6259,0.2838,946,19.15,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,6,77703.5519,1295.0592,185,27102.0016,0.271,485,9.86,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,7,84909.9696,1415.1662,56,29663.4045,0.2995,356,7.21,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,8,84501.7691,1408.3628,546,28925.4202,0.2745,846,17.13,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,9,84030.8005,1400.5133,170,21195.5581,0.2902,470,9.57,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,10,77944.6645,1299.0777,679,20644.3306,0.2663,979,20.02,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,1,80312.0316,1338.5339,850,17418.2178,0.2931,1500,30.35,13,"[133, 331, 431, 531, 631, 731, 831, 950, 1050, 1150, 1250, 1350, 1450]",1450,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,2,78763.3858,1312.7231,328,17068.7248,0.2908,978,19.86,7,"[290, 428, 528, 628, 728, 828, 928]",928,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,3,72566.7083,1209.4451,2523,29139.0482,0.3048,3173,64.65,28,"[136, 236, 336, 618, 718, 830, 930, 1046, 1146, 1246, 1346, 1446, 1569, 1686, 1786, 1886, 1986, 2086, 2186, 2306, 2406, 2506, 2623, 2723, 2823, 2923, 3023, 3123]",3123,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,4,75062.7073,1251.0451,230,21459.8383,0.2867,880,18.08,7,"[214, 330, 430, 530, 630, 730, 830]",830,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,5,85393.4667,1423.2244,235,17386.1935,0.2984,885,17.87,6,"[335, 435, 535, 635, 735, 835]",835,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,6,79973.3174,1332.8886,177,34652.745,0.3071,827,16.87,7,"[141, 277, 377, 477, 577, 677, 777]",777,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,7,73922.3243,1232.0387,508,16365.4552,0.2879,1158,23.65,8,"[370, 492, 608, 708, 808, 908, 1008, 1108]",1108,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,8,74353.1714,1239.2195,462,24330.1783,0.3003,1112,22.72,8,"[148, 442, 562, 662, 762, 862, 962, 1062]",1062,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,9,76508.68,1275.1447,413,17223.4563,0.278,1063,21.52,8,"[271, 396, 513, 613, 713, 813, 913, 1013]",1013,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,10,76093.09,1268.2182,433,27493.8735,0.3073,1083,22.16,9,"[163, 263, 390, 533, 633, 733, 833, 933, 1033]",1033,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
7,1,80944.7516,1349.0792,691,23616.9247,0.3073,1341,27.34,10,"[371, 471, 571, 671, 791, 891, 991, 1091, 1191, 1291]",1291,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,2,83024.463,1383.7411,866,21344.5915,0.3059,1516,30.99,12,"[347, 447, 547, 647, 747, 847, 966, 1066, 1166, 1266, 1366, 1466]",1466,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,3,84238.3561,1403.9726,150,13707.0474,0.3071,800,16.34,6,"[250, 350, 450, 550, 650, 750]",750,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,4,75830.8017,1263.8467,311,16814.3676,0.3054,961,19.61,7,"[284, 411, 511, 611, 711, 811, 911]",911,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,5,79043.374,1317.3896,184,22675.5823,0.3042,834,16.98,7,"[149, 284, 384, 484, 584, 684, 784]",784,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,6,85175.5644,1419.5927,73,17387.7724,0.3118,723,14.93,6,"[173, 273, 373, 473, 573, 673]",673,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,7,81617.7534,1360.2959,1147,27183.0029,0.3129,1797,36.5,15,"[203, 303, 403, 503, 622, 722, 868, 968, 1068, 1247, 1347, 1447, 1547, 1647, 1747]",1747,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,8,85197.8245,1419.9637,368,14912.6029,0.2974,1018,20.58,7,"[174, 468, 568, 668, 768, 868, 968]",968,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,9,80126.5923,1335.4432,729,13331.2184,0.3067,1379,28.28,12,"[209, 309, 409, 509, 609, 709, 829, 929, 1029, 1129, 1229, 1329]",1329,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
7,10,79550.2578,1325.8376,138,29957.7957,0.3096,788,15.95,6,"[238, 338, 438, 538, 638, 738]",738,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
8,1,74220.7522,1237.0125,1153,23360.855,0.2716,1803,36.86,5,"[496, 820, 1108, 1403, 1653]",1653,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,2,78770.7887,1312.8465,455,31048.1642,0.2816,1105,22.49,3,"[429, 705, 955]",955,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,3,73242.7535,1220.7126,869,21502.3936,0.2797,1519,30.77,4,"[479, 842, 1119, 1369]",1369,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,4,80720.768,1345.3461,663,25865.4522,0.2739,1313,26.58,2,"[913, 1163]",1163,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,5,69033.3583,1150.556,1665,21149.3877,0.2826,2315,47.09,7,"[540, 824, 1074, 1368, 1618, 1915, 2165]",2165,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,6,67869.5857,1131.1598,502,21179.434,0.2758,1152,23.39,3,"[394, 752, 1002]",1002,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,7,72796.8514,1213.2809,621,20446.9625,0.2751,1271,25.74,3,"[528, 871, 1121]",1121,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,8,70063.8213,1167.7304,1135,25600.5912,0.2844,1785,36.16,5,"[481, 854, 1104, 1385, 1635]",1635,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,9,70509.1632,1175.1527,1361,25023.1984,0.2692,2011,40.65,6,"[423, 708, 1021, 1301, 1611, 1861]",1861,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,10,69012.0,1150.2,1322,23574.6662,0.2681,1972,40.15,6,"[457, 748, 998, 1281, 1572, 1822]",1822,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
9,1,73641.4612,1227.3577,663,24744.4001,0.2698,1313,26.56,3,"[619, 913, 1163]",1163,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,2,73989.9925,1233.1665,683,26992.7534,0.277,1333,27.03,3,"[532, 933, 1183]",1183,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,3,79350.8844,1322.5147,987,24568.5757,0.2867,1637,33.02,4,"[599, 897, 1237, 1487]",1487,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,4,78736.4362,1312.2739,667,32346.9686,0.2821,1317,26.72,4,"[367, 617, 917, 1167]",1167,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,5,78034.0552,1300.5676,875,18099.8496,0.2745,1525,31.07,3,"[815, 1125, 1375]",1375,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,6,71649.1743,1194.1529,776,24620.0515,0.2733,1426,29.35,3,"[667, 1026, 1276]",1276,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,7,77277.9448,1287.9657,129,23305.7819,0.2751,779,15.94,2,"[379, 629]",629,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,8,77577.849,1292.9641,1119,22491.4087,0.2727,1769,36.68,5,"[467, 773, 1071, 1369, 1619]",1619,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,9,78200.8662,1303.3478,497,16995.4081,0.2751,1147,23.62,3,"[468, 747, 997]",997,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,10,71630.2874,1193.8381,533,20503.7242,0.278,1183,24.69,3,"[471, 783, 1033]",1033,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
10,1,76345.5632,1272.4261,969,26356.5095,0.2838,1619,33.98,2,"[839, 1369]",1369,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,2,75036.7158,1250.6119,1275,30760.9459,0.2821,1925,40.35,2,"[1260, 1675]",1675,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,3,82406.5455,1373.4424,227,15216.8957,0.2791,877,18.64,1,[627],627,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,4,71872.77,1197.8795,1044,26701.4947,0.2729,1694,35.35,3,"[494, 953, 1444]",1444,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,5,78853.0888,1314.2181,421,19491.7541,0.2855,1071,22.7,1,[821],821,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,6,76051.8337,1267.5306,854,27377.0192,0.2669,1504,31.14,2,"[703, 1254]",1254,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,7,69441.2312,1157.3539,920,33838.3242,0.2745,1570,32.22,2,"[827, 1320]",1320,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,8,72491.3884,1208.1898,1494,16933.5845,0.2704,2144,44.31,3,"[979, 1451, 1894]",1894,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,9,74062.3561,1234.3726,586,21073.7777,0.2821,1236,25.36,2,"[486, 986]",986,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,10,76262.3788,1271.0396,568,22948.0918,0.2885,1218,24.6,2,"[474, 968]",968,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
11,1,70480.738,1174.679,2637,24109.0604,0.2786,3287,66.81,5,"[1045, 1544, 2137, 2604, 3037]",3037,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,2,72828.3016,1213.805,583,31317.7491,0.2762,1233,24.67,2,"[458, 983]",983,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,3,74629.5979,1243.8266,1019,21461.7717,0.2768,1669,33.68,3,"[509, 942, 1419]",1419,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,4,77220.1951,1287.0033,1011,22943.5593,0.2671,1661,33.54,2,"[942, 1411]",1411,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,5,75395.3249,1256.5887,2228,25667.7243,0.2751,2878,57.94,4,"[1297, 1742, 2184, 2628]",2628,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
